iter	Passed	Remaining
642	14046	7798
643	14059	7772
644	14070	7744
645	14077	7714
646	14087	7685
647	14096	7657
648	14110	7631
649	14121	7603
650	14128	7574
651	14141	7548
652	14155	7522
653	14164	7493
654	14177	7467
655	14189	7440
656	14197	7412
657	14211	7386
658	14221	7359
659	14228	7329
660	14239	7302
661	14246	7274
662	14257	7247
663	14264	7218
664	14273	7190
665	14279	7161
666	14290	7134
667	14296	7105
668	14305	7077
669	14313	7049
670	14323	7022
671	14333	6996
672	14340	6968
673	14352	6942
674	14360	6914
675	14370	6887
676	14381	6861
677	14389	6833
678	14400	6807
679	14407	6780
680	14420	6754
681	14431	6728
682	14437	6700
683	14447	6674
684	14455	6647
685	14465	6621
686	14472	6593
687	14483	6568
688	14490	6540
689	14500	6514
690	14507	6487
691	14518	6462
692	14529	6436
693	14536	6409
694	14547	6384
695	14554	6357
696	14566	6332
697	14580	6308
698	14593	6284
699	14602	6258
700	14614	6233
701	14621	6206
702	14633	6182
703	14655	6161
704	14677	6141
705	14686	6115
706	14697	6090
707	14704	6064
708	14715	6039
709	14723	6013
710	14731	5987
711	14741	5962
712	14753	5938
713	14759	5912
714	14769	5887
715	14776	5861
716	14786	5836
717	14792	5809
718	14802	5785
719	14814	5761
720	14824	5736
721	14837	5712
722	14852	5690
723	14865	5667
724	14877	5643
725	14886	5618
726	14899	5595
727	14912	5571
728	14920	5546
729	14932	5522
730	14938	5497
731	14949	5473
732	14959	5449
733	14969	5424
734	14980	5401
735	14988	5376
736	14999	5352
737	15009	5328
738	15016	5303
739	15027	5279
740	15127	5287
741	15140	5264
742	15150	5240
743	15160	5216
744	15165	5190
745	15173	5166
746	15180	5141
747	15186	5116
748	15206	5096
749	15220	5073
750	15229	5049
751	15235	5024
752	15245	5000
753	15252	4976
754	15260	4952
755	15266	4927
756	15271	4902
757	15280	4878
758	15285	4853
759	15294	4829
760	15299	4805
761	15309	4781
762	15314	4756
763	15320	4732
764	15377	4723
765	15387	4700
766	15397	4677
767	15402	4652
768	15412	4629
769	15417	4605
770	15426	4582
771	15432	4557
772	15437	4533
773	15447	4510
774	15452	4486
775	15461	4463
776	15467	4439
777	15475	4415
778	15481	4392
779	15486	4368
780	15496	4345
781	15502	4321
782	15515	4299
783	15525	4277
784	15536	4255
785	15542	4231
786	15551	4208
787	15557	4185
788	15564	4162
789	15571	4139
790	15576	4115
791	15586	4093
792	15593	4070
793	15602	4048
794	15609	4025
795	15620	4003
796	15625	3979
797	15635	3957
798	15642	3935
799	15654	3913
800	15665	3891
801	15675	3870
802	15686	3848
803	15699	3827
804	15706	3804
805	15719	3783
806	15727	3761
807	15743	3741
808	15753	3719
809	15765	3698
810	15779	3677
811	15785	3654
812	15863	3648
813	15870	3626
814	15881	3604
815	15887	3582
816	15900	3561
817	15912	3540
818	15920	3518
819	15931	3497
820	15942	3475
821	15950	3454
822	15976	3435
823	15983	3413
824	15992	3392
825	15998	3370
826	16009	3348
827	16016	3327
828	16026	3305
829	16035	3284
830	16045	3263
831	16051	3241
832	16061	3219
833	16068	3198
834	16078	3177
835	16087	3155
836	16097	3134
837	16107	3113
838	16114	3092
839	16127	3071
840	16138	3051
841	16146	3029
842	16153	3008
843	16162	2987
844	16169	2965
845	16179	2945
846	16187	2924
847	16198	2903
848	16204	2882
849	16216	2861
850	16223	2840
851	16235	2820
852	16247	2799
853	16256	2779
854	16268	2758
855	16278	2738
856	16286	2717
857	16298	2697
858	16305	2676
859	16317	2656
860	16328	2636
861	16335	2615
862	16346	2594
863	16354	2574
864	16365	2554
865	16377	2534
866	16386	2513
867	16398	2493
868	16405	2473
869	16415	2452
870	16421	2432
871	16432	2412
872	16444	2392
873	16452	2371
874	16463	2351
875	16474	2332
876	16483	2311
877	16494	2291
878	16502	2271
879	16512	2251
880	16519	2231
881	16529	2211
882	16542	2191
883	16548	2171
884	16559	2151
885	16568	2131
886	16580	2112
887	16588	2092
888	16596	2072
889	16606	2052
890	16614	2032
891	16626	2013
892	16632	1992
893	16642	1973
894	16648	1953
895	16659	1933
896	16672	1914
897	16679	1894
898	16690	1875
899	16697	1855
900	16708	1835
901	16714	1816
902	16726	1796
903	16738	1777
904	16745	1757
905	16756	1738
906	16767	1719
907	16777	1699
908	16787	1680
909	16794	1660
910	16804	1641
911	16811	1622
912	16822	1603
913	16834	1583
914	16843	1564
915	16854	1545
916	16866	1526
917	16876	1507
918	16888	1488
919	16895	1469
920	16910	1450
921	16923	1431
922	16936	1412
923	16948	1394
924	16959	1375
925	16971	1356
926	16984	1337
927	16993	1318
928	17006	1299
929	17018	1280
930	17026	1261
931	17038	1243
932	17050	1224
933	17057	1205
934	17066	1186
935	17073	1167
936	17082	1148
937	17089	1129
938	17099	1110
939	17106	1091
940	17117	1073
941	17123	1054
942	17134	1035
943	17148	1017
944	17156	998
945	17166	979
946	17173	961
947	17184	942
948	17190	923
949	17200	905
950	17206	886
951	17216	868
952	17224	849
953	17234	831
954	17246	812
955	17267	794
956	17278	776
957	17287	757
958	17297	739
959	17305	721
960	17317	702
961	17329	684
962	17336	666
963	17347	647
964	17355	629
965	17365	611
966	17377	593
967	17384	574
968	17394	556
969	17400	538
970	17412	520
971	17424	501
972	17431	483
973	17442	465
974	17449	447
975	17461	429
976	17472	411
977	17479	393
978	17491	375
979	17498	357
980	17508	339
981	17515	321
982	17526	303
983	17538	285
984	17546	267
985	17556	249
986	17564	231
987	17574	213
988	17581	195
989	17591	177
990	17603	159
991	17610	142
992	17619	124
993	17626	106
994	17637	88
995	17645	70
996	17656	53
997	17664	35
998	17675	17
999	17685	0
